resolution,split,model,threshold,evaluated_samples,path_found_rate,success_rate_collision_free,unsafe_found_rate,collision_rate_among_found,planning_safety_utility,mean_map_iou,mean_collision_fraction_found,mean_path_false_positive_fraction_found,mean_inference_ms,mean_planning_ms
128,val,rgb_baseline,0.65,194,0.32989690721649484,0.2422680412371134,0.08762886597938144,0.265625,0.15463917525773196,0.4430258757477251,0.026042998610329347,0.026042998610329347,7.14021546288499,0.29997114024902743
128,val,rgb_baseline,0.7,194,0.3247422680412371,0.24742268041237114,0.07731958762886598,0.23809523809523808,0.17010309278350516,0.43483846392654313,0.023897442514867834,0.023897442514867834,7.14021546288499,0.25870000161038537
128,val,rgb_baseline,0.75,194,0.30412371134020616,0.23711340206185566,0.06701030927835051,0.22033898305084745,0.17010309278350516,0.42561128825243383,0.021621257011326063,0.021621257011326063,7.14021546288499,0.24728092830628157
128,val,rgbd_concat_baseline,0.05,194,1.0,0.5412371134020618,0.4587628865979381,0.4587628865979381,0.08247422680412364,0.3121062647590841,0.14410913834436218,0.14410913834436218,5.27335050907082,1.8542015537398762
128,val,rgbd_concat_baseline,0.1,194,0.9484536082474226,0.5412371134020618,0.4072164948453608,0.42934782608695654,0.134020618556701,0.5045091188618092,0.11506899059032548,0.11506899059032548,5.27335050907082,1.8013644346621693
128,val,rgbd_concat_baseline,0.15,194,0.8814432989690721,0.520618556701031,0.36082474226804123,0.4093567251461988,0.1597938144329898,0.5626959761068494,0.08801916338884375,0.08801916338884375,5.27335050907082,1.5244164933767361
128,val,rgbd_concat_baseline,0.2,194,0.7989690721649485,0.4742268041237113,0.3247422680412371,0.4064516129032258,0.14948453608247414,0.5686611142923947,0.0753428835128177,0.0753428835128177,5.27335050907082,1.5418402071725386
128,val,rgbd_concat_baseline,0.25,194,0.7010309278350515,0.4175257731958763,0.28350515463917525,0.40441176470588236,0.1340206185567011,0.5628788185026299,0.06421703593779488,0.06421703593779488,5.27335050907082,1.412431956100825
128,val,rgbd_concat_baseline,0.3,194,0.6030927835051546,0.38144329896907214,0.22164948453608246,0.36752136752136755,0.15979381443298968,0.5552241000573632,0.04855884353288955,0.04855884353288955,5.27335050907082,1.0778391727764813
128,val,rgbd_concat_baseline,0.35,194,0.5360824742268041,0.3556701030927835,0.18041237113402062,0.33653846153846156,0.17525773195876293,0.546090243322844,0.04955746138972942,0.04955746138972942,5.27335050907082,0.9374670119063219
