profile,split,threshold,rows,unique_samples,repeats,path_found_rate,success_rate_collision_free,unsafe_found_rate,collision_rate_among_found,planning_safety_utility,mean_map_iou,std_map_iou,mean_collision_fraction_found,mean_inference_ms,mean_encoder_ms,mean_channel_ms,mean_decoder_ms
clean_float32,val,0.1,194,194,1,0.7680412371134021,0.5360824742268041,0.23195876288659795,0.30201342281879195,0.3041237113402061,0.6422700187458313,0.31536585080420193,0.04928033425784772,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
clean_float32,val,0.15,194,194,1,0.7319587628865979,0.5309278350515464,0.20103092783505155,0.2746478873239437,0.3298969072164949,0.6505227235729686,0.32316393482956396,0.03869170350892236,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
clean_float32,val,0.2,194,194,1,0.711340206185567,0.520618556701031,0.19072164948453607,0.26811594202898553,0.3298969072164949,0.6561253084365584,0.32863842125738135,0.03681735965707512,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
clean_float32,val,0.25,194,194,1,0.7010309278350515,0.520618556701031,0.18041237113402062,0.25735294117647056,0.34020618556701043,0.6601055640184175,0.33396028248395254,0.0363117018740092,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
clean_float32,val,0.3,194,194,1,0.6958762886597938,0.5154639175257731,0.18041237113402062,0.25925925925925924,0.3350515463917525,0.6635998048121168,0.33832659480724403,0.03628118777587159,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
clean_float32,val,0.35,194,194,1,0.6855670103092784,0.5103092783505154,0.17525773195876287,0.2556390977443609,0.3350515463917525,0.6666169620570218,0.3417274047575363,0.03629710918115414,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
clean_float32,val,0.4,194,194,1,0.6752577319587629,0.5103092783505154,0.16494845360824742,0.24427480916030533,0.3453608247422679,0.6691804250346459,0.345091276099531,0.036367948651246054,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
clean_float32,val,0.45,194,194,1,0.654639175257732,0.4896907216494845,0.16494845360824742,0.25196850393700787,0.32474226804123707,0.6714412601062799,0.3481680946451828,0.03696404591695093,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
clean_float32,val,0.5,194,194,1,0.6443298969072165,0.4793814432989691,0.16494845360824742,0.256,0.31443298969072164,0.6731953472030553,0.3509770496077102,0.0368924690403808,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
clean_float32,val,0.55,194,194,1,0.6185567010309279,0.4639175257731959,0.15463917525773196,0.25,0.30927835051546393,0.6741887316773473,0.3531457276608035,0.037145027121658826,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
clean_float32,val,0.6,194,194,1,0.6082474226804123,0.4690721649484536,0.13917525773195877,0.2288135593220339,0.3298969072164949,0.6749360673881827,0.3549346414981774,0.036570240691600385,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
clean_float32,val,0.65,194,194,1,0.5309278350515464,0.41237113402061853,0.11855670103092783,0.22330097087378642,0.2938144329896907,0.6753053757990103,0.35659668602672867,0.03921600733110947,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
clean_float32,val,0.7,194,194,1,0.4639175257731959,0.34536082474226804,0.11855670103092783,0.25555555555555554,0.22680412371134018,0.6752919648499426,0.35830455968581104,0.041961888325607884,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
clean_float32,val,0.75,194,194,1,0.37628865979381443,0.28350515463917525,0.09278350515463918,0.2465753424657534,0.19072164948453607,0.6747395551784882,0.35987137762650073,0.04465067827584707,5.609397933645577,3.6940860835662517,0.03895464655703183,1.8763572035222937
q8_bpsk_ebn0_0,test,0.1,1524,508,3,0.6601049868766404,0.36351706036745407,0.29658792650918636,0.44930417495029823,0.06692913385826771,0.3982186113775464,0.16765230895602332,0.08287397442612232,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,test,0.15,1524,508,3,0.613517060367454,0.34776902887139105,0.265748031496063,0.43315508021390375,0.08202099737532809,0.4144608516813236,0.16676342409705966,0.07112790389607258,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,test,0.2,1524,508,3,0.5761154855643045,0.3320209973753281,0.2440944881889764,0.42369020501138954,0.0879265091863517,0.4262553748647203,0.16599910519806776,0.06431061174361037,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,test,0.25,1524,508,3,0.5393700787401575,0.3123359580052493,0.22703412073490814,0.4209245742092457,0.08530183727034113,0.43585206254681447,0.1653995678492666,0.05926653929295646,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,test,0.3,1524,508,3,0.4927821522309711,0.2887139107611549,0.20406824146981628,0.4141145139813582,0.08464566929133865,0.4438005652898638,0.1649462786529302,0.0557284467014598,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,test,0.35,1524,508,3,0.4671916010498688,0.2769028871391076,0.19028871391076116,0.40730337078651685,0.08661417322834641,0.4502642868772358,0.1648220473621378,0.052214809229923324,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,test,0.4,1524,508,3,0.42191601049868765,0.2532808398950131,0.16863517060367453,0.39968895800933124,0.08464566929133854,0.45534445341107843,0.16479717774048117,0.04626029662415347,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,test,0.45,1524,508,3,0.3825459317585302,0.2316272965879265,0.15091863517060367,0.39451114922813035,0.0807086614173228,0.4591977543268398,0.16483988862392576,0.04252720328062078,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,test,0.5,1524,508,3,0.3464566929133858,0.20406824146981628,0.14238845144356954,0.4109848484848485,0.06167979002624674,0.4624251199022416,0.16499150278737504,0.04227763694461066,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,test,0.55,1524,508,3,0.30183727034120733,0.1784776902887139,0.12335958005249344,0.40869565217391307,0.055118110236220486,0.46544531891581953,0.16547521128215678,0.03988468730429419,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,test,0.6,1524,508,3,0.2683727034120735,0.15485564304461943,0.11351706036745407,0.4229828850855746,0.04133858267716539,0.46823696128580566,0.1661613666636023,0.04330741339120381,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,test,0.65,1524,508,3,0.23622047244094488,0.13451443569553806,0.10170603674540682,0.4305555555555556,0.03280839895013124,0.4708745035957118,0.1670956414837464,0.043751351178314794,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,test,0.7,1524,508,3,0.20406824146981628,0.1194225721784777,0.08464566929133858,0.41479099678456594,0.03477690288713911,0.4733213140582387,0.16843266786773337,0.042326188305673,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,test,0.75,1524,508,3,0.1725721784776903,0.10039370078740158,0.07217847769028872,0.41825095057034223,0.028215223097112857,0.4754897147767123,0.17037480254587728,0.04120748780845878,9.580905643032663,4.726300065239447,1.549359380904331,3.305246196888886
q8_bpsk_ebn0_0,val,0.1,582,194,3,0.7199312714776632,0.49140893470790376,0.22852233676975944,0.31742243436754175,0.2628865979381443,0.4641586891362321,0.21058423868461115,0.056504171376116706,8.796420782849294,4.30530996407507,1.5423333318744021,2.948777486899823
q8_bpsk_ebn0_0,val,0.15,582,194,3,0.6769759450171822,0.48109965635738833,0.1958762886597938,0.2893401015228426,0.2852233676975945,0.4795423669450558,0.22096314219314903,0.04397976371476308,8.796420782849294,4.30530996407507,1.5423333318744021,2.948777486899823
q8_bpsk_ebn0_0,val,0.2,582,194,3,0.6494845360824743,0.4570446735395189,0.19243986254295534,0.2962962962962963,0.2646048109965635,0.4906103103934065,0.22867550435040288,0.04151945058207932,8.796420782849294,4.30530996407507,1.5423333318744021,2.948777486899823
q8_bpsk_ebn0_0,val,0.25,582,194,3,0.6048109965635738,0.42783505154639173,0.17697594501718214,0.29261363636363635,0.2508591065292096,0.4995803753311384,0.2353068774209123,0.03983366871502729,8.796420782849294,4.30530996407507,1.5423333318744021,2.948777486899823
q8_bpsk_ebn0_0,val,0.3,582,194,3,0.5910652920962199,0.4209621993127148,0.17010309278350516,0.2877906976744186,0.2508591065292096,0.5068575818929002,0.2410301102227762,0.03865291307143339,8.796420782849294,4.30530996407507,1.5423333318744021,2.948777486899823
q8_bpsk_ebn0_0,val,0.35,582,194,3,0.5652920962199313,0.4054982817869416,0.15979381443298968,0.2826747720364742,0.2457044673539519,0.512574585573235,0.24579896861310263,0.03575560501240697,8.796420782849294,4.30530996407507,1.5423333318744021,2.948777486899823
q8_bpsk_ebn0_0,val,0.4,582,194,3,0.5360824742268041,0.39690721649484534,0.13917525773195877,0.25961538461538464,0.25773195876288657,0.5171655033221448,0.25000403869619453,0.033843929171506325,8.796420782849294,4.30530996407507,1.5423333318744021,2.948777486899823
q8_bpsk_ebn0_0,val,0.45,582,194,3,0.49828178694158076,0.3694158075601375,0.12886597938144329,0.25862068965517243,0.2405498281786942,0.5205689973159959,0.25361550838456626,0.034045522268700536,8.796420782849294,4.30530996407507,1.5423333318744021,2.948777486899823
